V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,
0%,1%,0%,0%,2%,1%,6%,0%,0%,3%,0%,0%,65%,0%,0%,14%,0%,3%,0%,3%,
0%,15%,0%,0%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,80%,0%,0%,0%,0%,1%,
1%,0%,0%,0%,2%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,87%,0%,5%,
0%,1%,0%,0%,1%,51%,2%,0%,0%,0%,0%,0%,8%,0%,22%,1%,0%,1%,0%,11%,
0%,26%,2%,11%,8%,1%,1%,0%,2%,0%,0%,0%,31%,0%,4%,3%,0%,0%,1%,9%,
1%,0%,12%,0%,0%,3%,6%,0%,1%,0%,0%,20%,0%,0%,0%,10%,38%,1%,0%,4%,
0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
4%,0%,0%,0%,1%,25%,10%,0%,24%,25%,0%,0%,3%,0%,3%,2%,0%,2%,0%,1%,
0%,24%,16%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,10%,1%,0%,0%,0%,45%,
1%,0%,0%,1%,6%,7%,58%,0%,0%,1%,14%,2%,0%,0%,0%,1%,0%,0%,0%,9%,
0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
38%,5%,0%,0%,1%,1%,1%,0%,9%,1%,0%,0%,0%,0%,36%,4%,0%,1%,0%,1%,
0%,0%,3%,6%,0%,3%,13%,0%,0%,0%,0%,41%,0%,0%,0%,2%,19%,0%,0%,12%,
0%,1%,16%,2%,0%,0%,2%,3%,1%,0%,1%,9%,0%,0%,0%,15%,40%,1%,0%,6%,
11%,1%,7%,0%,15%,0%,3%,0%,1%,0%,0%,0%,4%,0%,0%,18%,0%,1%,0%,39%,
0%,0%,57%,1%,0%,0%,5%,0%,0%,0%,0%,1%,0%,0%,0%,1%,25%,0%,0%,9%,
15%,7%,1%,2%,3%,2%,3%,0%,1%,3%,0%,18%,18%,5%,2%,6%,1%,3%,3%,7%,
0%,0%,0%,0%,0%,4%,0%,0%,0%,8%,0%,0%,60%,0%,0%,1%,0%,21%,4%,0%,
3%,0%,0%,0%,0%,0%,94%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,
0%,0%,96%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,
0%,1%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%,0%,0%,24%,
0%,1%,0%,0%,2%,23%,23%,0%,0%,1%,0%,0%,3%,0%,0%,15%,0%,30%,0%,1%,
0%,0%,0%,0%,74%,4%,5%,0%,0%,1%,0%,0%,8%,0%,0%,3%,0%,1%,1%,2%,
2%,42%,20%,0%,1%,0%,1%,0%,0%,0%,0%,1%,0%,0%,18%,6%,0%,1%,0%,6%,
2%,3%,0%,3%,27%,0%,0%,1%,34%,1%,1%,0%,0%,7%,12%,1%,0%,1%,3%,4%,
0%,11%,0%,13%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,2%,46%,0%,0%,25%,
3%,0%,0%,0%,0%,0%,0%,0%,0%,74%,0%,0%,0%,0%,0%,9%,0%,9%,4%,0%,
