V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,94%,0%,0%,0%,3%,0%,0%,0%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,93%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,2%,
6%,0%,0%,1%,5%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,36%,0%,42%,
0%,0%,0%,2%,0%,1%,96%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
2%,0%,1%,14%,1%,0%,11%,2%,0%,0%,20%,1%,0%,0%,0%,2%,13%,0%,0%,31%,
29%,1%,0%,0%,44%,20%,3%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,1%,1%,
4%,3%,0%,0%,0%,1%,4%,0%,0%,32%,0%,13%,0%,0%,8%,32%,0%,1%,1%,1%,
41%,17%,0%,0%,7%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,29%,0%,0%,0%,1%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,
0%,82%,0%,0%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,
2%,6%,0%,0%,1%,5%,8%,0%,0%,1%,0%,0%,32%,0%,38%,2%,0%,1%,0%,2%,
0%,5%,0%,9%,1%,1%,1%,0%,0%,72%,0%,2%,1%,1%,0%,1%,0%,0%,5%,2%,
0%,1%,0%,0%,0%,63%,2%,0%,0%,0%,0%,29%,0%,0%,0%,1%,0%,3%,0%,0%,
19%,1%,16%,1%,25%,2%,2%,0%,3%,0%,0%,0%,2%,0%,1%,1%,0%,1%,19%,7%,
0%,0%,1%,0%,0%,11%,1%,0%,0%,0%,0%,0%,37%,0%,14%,1%,0%,34%,0%,0%,
0%,5%,0%,0%,2%,7%,0%,0%,1%,0%,0%,0%,40%,0%,39%,1%,0%,0%,0%,2%,
0%,30%,0%,1%,0%,5%,1%,0%,0%,1%,0%,37%,1%,1%,1%,3%,17%,1%,0%,1%,
0%,0%,0%,0%,65%,0%,0%,0%,14%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,18%,
0%,26%,0%,0%,8%,2%,0%,0%,0%,0%,0%,0%,9%,0%,0%,36%,0%,0%,1%,17%,
19%,0%,0%,0%,30%,1%,32%,0%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,0%,10%,
0%,1%,0%,1%,1%,0%,0%,0%,75%,0%,0%,1%,0%,17%,0%,1%,0%,0%,0%,2%,
1%,15%,0%,2%,53%,2%,22%,0%,0%,1%,0%,0%,1%,0%,0%,1%,0%,0%,0%,2%,
0%,5%,0%,7%,1%,1%,1%,0%,0%,76%,0%,2%,0%,1%,0%,1%,0%,0%,4%,1%,
0%,2%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,11%,0%,0%,81%,
0%,1%,0%,7%,2%,0%,0%,0%,15%,2%,47%,0%,0%,0%,12%,0%,0%,0%,0%,12%,
0%,1%,0%,0%,2%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,93%,0%,
1%,1%,0%,0%,8%,1%,25%,0%,0%,0%,0%,0%,0%,0%,0%,24%,0%,0%,0%,39%,
1%,1%,2%,2%,1%,3%,2%,0%,8%,0%,0%,1%,0%,7%,0%,2%,37%,0%,0%,32%,
0%,1%,0%,2%,3%,0%,1%,0%,12%,2%,5%,5%,5%,0%,0%,55%,1%,1%,1%,5%,
10%,0%,0%,0%,30%,0%,39%,0%,0%,0%,0%,0%,0%,0%,0%,9%,0%,1%,0%,9%,
0%,0%,1%,2%,1%,1%,2%,0%,3%,1%,8%,3%,1%,1%,1%,8%,0%,55%,6%,5%,
0%,1%,0%,26%,1%,0%,1%,0%,0%,0%,4%,0%,0%,0%,0%,1%,7%,0%,0%,55%,
0%,0%,0%,9%,1%,0%,78%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,
0%,0%,0%,0%,11%,54%,2%,0%,0%,0%,0%,0%,1%,0%,0%,16%,0%,0%,0%,14%,
0%,0%,0%,9%,0%,21%,64%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
1%,3%,0%,1%,3%,1%,1%,0%,73%,2%,1%,1%,2%,1%,2%,3%,0%,1%,1%,5%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,18%,78%,0%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,8%,0%,0%,18%,70%,0%,
0%,1%,0%,0%,2%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,93%,0%,
0%,0%,0%,0%,15%,0%,0%,0%,73%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,
0%,7%,0%,0%,6%,0%,0%,0%,4%,0%,0%,0%,17%,0%,0%,34%,0%,0%,0%,30%,
0%,1%,1%,4%,2%,0%,0%,0%,7%,0%,10%,3%,15%,0%,0%,40%,3%,0%,0%,11%,
0%,6%,0%,1%,8%,1%,1%,0%,2%,1%,0%,1%,48%,0%,1%,19%,0%,1%,1%,8%,
0%,1%,0%,3%,0%,0%,11%,3%,0%,5%,0%,11%,0%,0%,11%,1%,43%,1%,0%,8%,
0%,7%,0%,2%,12%,0%,1%,0%,0%,1%,0%,9%,45%,0%,0%,10%,0%,0%,1%,10%,
1%,0%,1%,2%,2%,0%,6%,0%,1%,0%,44%,1%,0%,0%,0%,4%,1%,1%,0%,36%,
0%,1%,0%,0%,1%,2%,1%,0%,0%,2%,0%,1%,16%,0%,58%,1%,0%,4%,12%,1%,
0%,0%,15%,1%,1%,0%,1%,0%,0%,0%,2%,1%,38%,0%,0%,28%,0%,1%,0%,11%,
0%,76%,0%,1%,7%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,12%,
0%,1%,0%,0%,2%,60%,4%,0%,0%,0%,0%,0%,3%,0%,0%,21%,0%,0%,0%,7%,
0%,62%,1%,2%,2%,0%,1%,3%,1%,1%,0%,6%,0%,1%,1%,2%,1%,0%,0%,16%,
1%,1%,0%,0%,5%,68%,6%,0%,0%,0%,0%,0%,4%,0%,0%,7%,0%,1%,1%,4%,
0%,1%,0%,0%,5%,71%,2%,0%,0%,0%,0%,0%,1%,0%,0%,14%,0%,0%,0%,5%,
35%,0%,1%,0%,2%,2%,11%,0%,1%,1%,0%,5%,9%,0%,1%,13%,0%,8%,0%,10%,
0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,1%,0%,0%,0%,38%,21%,0%,0%,11%,0%,23%,0%,0%,1%,2%,1%,1%,0%,1%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,26%,11%,0%,2%,0%,58%,0%,0%,
23%,0%,1%,0%,11%,0%,33%,0%,0%,0%,8%,0%,0%,0%,0%,1%,0%,18%,0%,4%,
0%,2%,0%,1%,1%,1%,1%,0%,0%,34%,0%,51%,0%,0%,0%,1%,0%,1%,6%,1%,
0%,64%,0%,1%,22%,1%,5%,0%,0%,1%,0%,0%,1%,0%,0%,1%,0%,0%,0%,4%,
0%,1%,2%,23%,0%,0%,2%,1%,28%,1%,4%,1%,0%,2%,18%,1%,9%,0%,0%,7%,
3%,1%,2%,3%,2%,3%,57%,0%,0%,2%,1%,3%,1%,0%,1%,6%,1%,4%,0%,10%,
0%,20%,0%,0%,32%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,25%,0%,0%,0%,20%,
19%,2%,1%,8%,12%,1%,1%,0%,2%,1%,0%,0%,1%,3%,22%,1%,0%,18%,5%,2%,
0%,1%,1%,6%,12%,0%,0%,0%,16%,0%,18%,0%,1%,0%,0%,2%,0%,0%,0%,41%,
0%,3%,0%,5%,52%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,5%,0%,0%,0%,30%,
0%,0%,0%,16%,1%,0%,1%,0%,1%,12%,5%,18%,0%,3%,29%,0%,0%,0%,0%,13%,
0%,0%,18%,0%,0%,0%,2%,0%,0%,0%,0%,1%,0%,0%,0%,0%,78%,0%,0%,1%,
0%,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,0%,0%,0%,2%,97%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,0%,0%,0%,2%,97%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,0%,0%,0%,5%,30%,0%,0%,27%,0%,13%,1%,0%,0%,19%,0%,1%,0%,1%,
0%,0%,0%,0%,1%,32%,31%,0%,0%,2%,0%,3%,10%,0%,0%,3%,0%,8%,0%,7%,
0%,0%,93%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,2%,
69%,0%,0%,0%,25%,0%,1%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,0%,2%,
81%,0%,0%,0%,9%,0%,1%,0%,0%,2%,0%,0%,0%,0%,0%,1%,0%,0%,0%,4%,
84%,0%,0%,0%,7%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,
12%,0%,0%,1%,8%,0%,22%,47%,0%,1%,2%,0%,0%,0%,1%,1%,0%,1%,0%,2%,
0%,0%,1%,1%,2%,0%,2%,1%,1%,0%,84%,1%,0%,0%,0%,2%,0%,1%,0%,3%,
1%,0%,1%,1%,41%,0%,2%,0%,1%,0%,43%,0%,1%,0%,0%,2%,0%,3%,1%,3%,
69%,1%,1%,1%,3%,1%,8%,0%,1%,1%,0%,1%,0%,0%,1%,4%,0%,3%,0%,5%,
0%,0%,0%,0%,0%,9%,64%,0%,0%,1%,0%,7%,0%,0%,7%,4%,0%,3%,0%,2%,
2%,1%,1%,0%,0%,1%,60%,0%,0%,1%,0%,10%,0%,0%,5%,8%,0%,4%,0%,5%,
0%,1%,2%,1%,0%,1%,2%,0%,0%,1%,1%,82%,0%,1%,1%,3%,2%,1%,0%,3%,
0%,0%,1%,1%,2%,0%,2%,1%,1%,0%,84%,1%,0%,0%,0%,2%,0%,1%,0%,3%,
0%,0%,0%,2%,1%,2%,72%,0%,0%,1%,0%,0%,1%,0%,0%,15%,0%,1%,0%,4%,
0%,1%,0%,1%,1%,1%,36%,0%,0%,1%,0%,0%,10%,0%,21%,14%,0%,1%,0%,13%,
0%,0%,87%,2%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,
0%,14%,0%,0%,1%,0%,0%,0%,0%,54%,0%,0%,15%,0%,0%,7%,0%,0%,6%,1%,
0%,0%,1%,1%,2%,0%,2%,1%,1%,0%,84%,1%,0%,0%,0%,2%,0%,1%,0%,3%,
0%,3%,15%,10%,51%,0%,2%,0%,1%,0%,1%,0%,3%,0%,1%,2%,0%,1%,1%,7%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,78%,0%,11%,0%,8%,0%,1%,
0%,0%,0%,3%,1%,0%,12%,0%,0%,76%,0%,0%,0%,0%,0%,1%,0%,0%,0%,5%,
0%,16%,0%,7%,3%,4%,1%,0%,9%,1%,0%,2%,1%,1%,0%,2%,49%,0%,0%,3%,
0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,65%,0%,27%,0%,0%,0%,0%,0%,0%,
1%,0%,0%,0%,10%,1%,57%,0%,0%,0%,0%,0%,0%,0%,0%,15%,0%,12%,0%,1%,
21%,9%,0%,0%,1%,10%,7%,0%,11%,9%,0%,3%,0%,0%,1%,25%,0%,2%,0%,1%,
0%,1%,0%,2%,3%,15%,2%,0%,1%,4%,0%,18%,3%,0%,0%,1%,3%,0%,0%,45%,
0%,24%,0%,2%,0%,5%,0%,0%,46%,2%,0%,2%,0%,1%,1%,1%,6%,0%,0%,11%,
0%,4%,3%,7%,0%,2%,2%,0%,1%,4%,0%,11%,2%,1%,1%,19%,24%,11%,0%,7%,
0%,12%,0%,1%,1%,4%,1%,0%,1%,58%,0%,9%,2%,0%,1%,1%,0%,1%,8%,1%,
1%,0%,78%,1%,1%,1%,1%,0%,0%,0%,0%,2%,1%,0%,1%,2%,0%,4%,1%,5%,
41%,0%,1%,0%,15%,0%,2%,0%,1%,0%,28%,0%,0%,0%,5%,2%,0%,1%,0%,2%,
0%,1%,10%,3%,0%,0%,1%,6%,0%,0%,2%,30%,0%,24%,1%,1%,17%,1%,0%,4%,
1%,0%,4%,0%,0%,0%,0%,0%,3%,0%,3%,6%,0%,0%,1%,38%,0%,10%,0%,33%,
0%,11%,0%,1%,2%,1%,0%,0%,72%,9%,0%,0%,1%,0%,0%,1%,0%,0%,1%,1%,
0%,35%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,57%,0%,3%,1%,0%,0%,0%,1%,
0%,0%,0%,0%,0%,19%,8%,0%,0%,4%,0%,1%,0%,0%,63%,0%,0%,1%,1%,0%,
0%,0%,0%,1%,0%,10%,14%,0%,0%,2%,0%,1%,0%,0%,69%,0%,2%,0%,0%,1%,
0%,0%,0%,0%,0%,27%,2%,0%,0%,15%,0%,1%,0%,0%,50%,0%,2%,0%,0%,0%,
1%,0%,11%,2%,10%,0%,36%,0%,0%,0%,11%,0%,0%,0%,0%,1%,0%,0%,0%,26%,
0%,42%,0%,2%,33%,0%,0%,0%,19%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,1%,
0%,8%,0%,0%,0%,0%,0%,89%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,
0%,0%,0%,0%,0%,8%,1%,0%,0%,15%,0%,0%,0%,0%,74%,0%,0%,0%,0%,0%,
1%,2%,0%,1%,6%,1%,1%,0%,71%,1%,1%,1%,2%,0%,1%,3%,0%,1%,1%,5%,
3%,1%,1%,1%,1%,12%,27%,0%,0%,2%,0%,2%,2%,0%,24%,2%,0%,22%,0%,2%,
0%,0%,5%,0%,0%,0%,42%,0%,0%,0%,13%,22%,0%,0%,0%,1%,0%,6%,0%,10%,
0%,46%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,1%,0%,0%,0%,1%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,93%,1%,0%,0%,0%,0%,5%,0%,0%,0%,
0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,94%,0%,0%,1%,
1%,0%,59%,1%,1%,1%,4%,0%,0%,0%,1%,3%,1%,0%,1%,4%,0%,17%,1%,5%,
0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,94%,0%,0%,1%,
1%,0%,4%,0%,88%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,2%,2%,
0%,0%,3%,1%,0%,0%,0%,15%,0%,0%,0%,4%,23%,0%,0%,7%,1%,43%,1%,0%,
0%,0%,0%,0%,0%,8%,1%,0%,0%,15%,0%,0%,0%,0%,73%,0%,0%,0%,0%,0%,
0%,68%,0%,1%,0%,1%,0%,0%,0%,7%,0%,4%,2%,0%,2%,1%,10%,0%,0%,1%,
1%,1%,0%,1%,87%,1%,4%,0%,0%,1%,0%,0%,1%,0%,0%,1%,0%,0%,0%,2%,
0%,0%,93%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,2%,
0%,1%,1%,5%,0%,0%,4%,0%,0%,1%,0%,16%,2%,0%,0%,20%,1%,34%,0%,12%,
0%,0%,80%,1%,0%,0%,1%,0%,0%,0%,0%,10%,0%,0%,0%,2%,1%,1%,0%,3%,
2%,0%,0%,0%,0%,0%,5%,0%,0%,15%,0%,1%,0%,0%,0%,1%,0%,32%,28%,13%,
18%,0%,0%,0%,8%,0%,3%,0%,0%,0%,56%,0%,0%,0%,0%,3%,0%,9%,0%,1%,
0%,3%,0%,1%,12%,0%,4%,0%,1%,14%,55%,1%,0%,0%,1%,2%,0%,1%,2%,2%,
0%,0%,0%,0%,2%,76%,4%,0%,0%,8%,0%,0%,0%,0%,0%,6%,0%,0%,0%,1%,
0%,0%,0%,0%,19%,60%,6%,0%,0%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,
0%,27%,0%,0%,1%,0%,0%,0%,67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,
0%,0%,0%,0%,7%,73%,10%,0%,0%,5%,0%,0%,1%,0%,0%,1%,0%,0%,0%,1%,
0%,0%,94%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,2%,
0%,0%,0%,0%,0%,6%,3%,0%,0%,0%,0%,0%,31%,0%,15%,29%,0%,13%,0%,1%,
0%,0%,0%,0%,21%,69%,4%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,2%,
0%,1%,0%,1%,1%,0%,0%,3%,27%,55%,1%,7%,0%,0%,0%,0%,0%,0%,1%,1%,
1%,0%,0%,0%,1%,62%,2%,0%,0%,0%,0%,1%,2%,0%,0%,8%,0%,18%,2%,1%,
0%,0%,98%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,2%,0%,16%,8%,0%,0%,0%,1%,0%,0%,0%,0%,0%,69%,0%,0%,0%,0%,2%,
0%,1%,0%,0%,1%,0%,0%,0%,23%,0%,0%,0%,2%,0%,0%,69%,0%,0%,0%,1%,
72%,0%,3%,0%,2%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,19%,0%,1%,
0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,43%,0%,0%,0%,39%,0%,14%,0%,1%,
0%,0%,0%,0%,1%,1%,0%,0%,38%,0%,0%,0%,47%,1%,0%,2%,0%,6%,0%,2%,
0%,1%,0%,0%,2%,0%,0%,0%,36%,1%,0%,0%,47%,0%,0%,3%,0%,7%,0%,2%,
0%,1%,51%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,11%,32%,0%,0%,2%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,
0%,8%,0%,0%,54%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,32%,0%,0%,0%,3%,
0%,1%,0%,1%,1%,1%,3%,0%,1%,83%,0%,2%,1%,0%,1%,1%,0%,1%,0%,2%,
80%,0%,0%,0%,8%,0%,0%,6%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,
1%,2%,0%,3%,55%,0%,2%,19%,1%,1%,1%,0%,0%,0%,0%,1%,0%,0%,0%,13%,
0%,0%,98%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,0%,40%,1%,0%,0%,14%,0%,0%,0%,0%,2%,0%,0%,0%,10%,27%,1%,0%,3%,
1%,0%,0%,0%,0%,4%,64%,0%,0%,0%,0%,1%,0%,0%,0%,9%,0%,19%,0%,1%,
2%,1%,26%,1%,39%,0%,1%,14%,1%,0%,1%,0%,1%,0%,1%,2%,0%,1%,1%,9%,
3%,0%,0%,1%,20%,0%,39%,0%,0%,1%,22%,0%,1%,0%,0%,2%,0%,3%,0%,6%,
1%,0%,1%,9%,4%,0%,40%,0%,0%,1%,1%,0%,1%,0%,0%,6%,0%,22%,0%,13%,
0%,1%,0%,1%,1%,1%,3%,0%,1%,83%,0%,2%,1%,0%,1%,1%,0%,1%,0%,2%,
81%,0%,0%,0%,1%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,3%,0%,1%,
94%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
0%,52%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,8%,0%,0%,37%,
0%,1%,0%,0%,57%,0%,0%,0%,0%,0%,0%,0%,16%,0%,0%,14%,0%,0%,0%,10%,
0%,0%,88%,1%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,2%,0%,1%,0%,4%,
2%,0%,22%,1%,0%,0%,14%,0%,0%,0%,0%,30%,0%,0%,0%,3%,0%,1%,0%,25%,
1%,0%,0%,0%,30%,5%,53%,0%,0%,0%,2%,0%,0%,0%,0%,1%,0%,3%,0%,3%,
0%,0%,1%,1%,0%,0%,2%,0%,0%,1%,19%,56%,0%,1%,1%,2%,1%,12%,0%,2%,
0%,0%,0%,1%,0%,0%,1%,52%,0%,0%,32%,1%,0%,0%,0%,0%,0%,12%,0%,0%,
0%,0%,96%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,
0%,6%,1%,6%,2%,0%,3%,1%,2%,1%,4%,26%,2%,0%,8%,3%,23%,1%,0%,12%,
0%,1%,0%,1%,0%,8%,7%,0%,0%,8%,0%,10%,0%,43%,1%,2%,0%,15%,1%,1%,
0%,0%,0%,0%,0%,1%,4%,0%,0%,25%,0%,40%,0%,0%,0%,1%,0%,27%,0%,1%,
0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,1%,54%,0%,0%,1%,
0%,3%,0%,1%,1%,3%,3%,0%,1%,65%,0%,12%,1%,1%,1%,2%,0%,1%,1%,2%,
1%,0%,0%,0%,31%,8%,4%,0%,2%,1%,1%,0%,9%,0%,1%,2%,0%,36%,1%,1%,
28%,0%,23%,0%,1%,0%,4%,0%,0%,0%,0%,2%,0%,0%,0%,29%,0%,1%,8%,3%,
0%,5%,0%,3%,0%,0%,0%,2%,0%,0%,0%,1%,0%,0%,11%,0%,75%,0%,0%,1%,
2%,9%,2%,4%,17%,0%,3%,25%,4%,0%,7%,1%,0%,0%,1%,14%,3%,0%,0%,8%,
4%,0%,0%,0%,0%,0%,1%,0%,47%,0%,0%,0%,0%,0%,0%,4%,0%,9%,0%,31%,
0%,11%,0%,1%,59%,0%,1%,0%,1%,13%,0%,0%,4%,0%,0%,1%,0%,0%,1%,7%,
0%,0%,9%,2%,1%,0%,8%,0%,0%,0%,1%,27%,0%,0%,0%,2%,1%,2%,0%,47%,
1%,0%,41%,0%,0%,0%,24%,0%,0%,0%,0%,7%,0%,0%,0%,1%,0%,24%,0%,1%,
45%,1%,0%,0%,34%,11%,5%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,
0%,1%,25%,0%,0%,0%,1%,0%,0%,0%,0%,9%,0%,0%,0%,47%,1%,0%,0%,14%,
0%,1%,4%,0%,1%,1%,1%,0%,1%,0%,0%,13%,16%,0%,1%,6%,0%,41%,2%,11%,
14%,2%,0%,1%,56%,0%,0%,0%,15%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,10%,
1%,1%,22%,2%,1%,1%,1%,0%,1%,0%,0%,3%,0%,57%,1%,2%,1%,1%,1%,5%,
1%,1%,79%,1%,1%,0%,2%,0%,0%,0%,0%,2%,0%,0%,1%,3%,0%,1%,0%,6%,
71%,0%,0%,0%,0%,10%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,
66%,0%,0%,1%,1%,1%,22%,1%,0%,1%,0%,0%,0%,0%,2%,1%,0%,1%,0%,2%,
0%,3%,0%,1%,21%,0%,0%,0%,5%,1%,0%,0%,1%,0%,37%,1%,0%,0%,17%,12%,
9%,21%,11%,0%,19%,0%,1%,0%,1%,0%,0%,0%,1%,0%,1%,28%,0%,1%,1%,5%,
2%,65%,0%,1%,0%,1%,1%,0%,0%,0%,0%,9%,0%,14%,2%,0%,0%,0%,0%,3%,
0%,20%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,74%,1%,0%,0%,0%,1%,
0%,8%,0%,0%,1%,19%,1%,0%,4%,50%,0%,0%,6%,0%,1%,7%,0%,2%,1%,1%,
0%,0%,2%,0%,0%,0%,0%,0%,76%,0%,1%,15%,0%,0%,2%,1%,0%,1%,0%,1%,
1%,2%,1%,1%,1%,1%,2%,0%,1%,1%,0%,1%,1%,0%,82%,1%,0%,2%,0%,3%,
0%,1%,1%,1%,0%,1%,2%,0%,0%,0%,0%,8%,0%,0%,1%,2%,77%,1%,0%,3%,
0%,1%,0%,10%,0%,11%,32%,0%,0%,11%,0%,16%,0%,0%,15%,0%,2%,1%,0%,1%,
56%,0%,1%,0%,1%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,9%,0%,7%,0%,19%,
0%,40%,0%,2%,4%,0%,2%,0%,1%,0%,0%,0%,14%,0%,0%,15%,3%,0%,0%,17%,
0%,7%,17%,0%,1%,0%,1%,0%,2%,0%,0%,7%,2%,0%,1%,33%,0%,3%,1%,24%,
0%,1%,3%,3%,2%,0%,4%,1%,1%,1%,47%,19%,0%,1%,1%,3%,2%,2%,0%,9%,
0%,4%,0%,1%,30%,0%,1%,0%,1%,0%,46%,0%,0%,0%,0%,9%,0%,0%,0%,6%,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,75%,18%,0%,0%,0%,1%,0%,4%,0%,0%,
52%,11%,0%,0%,11%,0%,1%,0%,8%,1%,0%,0%,0%,0%,0%,2%,0%,0%,0%,12%,
2%,0%,5%,6%,2%,0%,1%,0%,6%,0%,0%,0%,0%,0%,11%,1%,0%,0%,0%,64%,
1%,0%,81%,0%,0%,0%,2%,0%,0%,0%,0%,1%,0%,0%,0%,2%,0%,8%,0%,2%,
4%,1%,1%,0%,52%,1%,1%,0%,0%,0%,1%,12%,0%,0%,0%,6%,0%,8%,10%,1%,
1%,2%,0%,1%,48%,1%,2%,0%,16%,5%,1%,1%,3%,0%,1%,4%,0%,1%,2%,10%,
7%,0%,0%,6%,0%,2%,44%,0%,0%,3%,0%,13%,0%,13%,0%,1%,6%,1%,0%,3%,
0%,0%,86%,1%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,2%,0%,1%,0%,6%,
48%,0%,0%,0%,1%,0%,48%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,
50%,0%,0%,0%,1%,0%,43%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,1%,
0%,1%,0%,0%,2%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,93%,0%,
0%,1%,69%,1%,0%,0%,2%,0%,0%,0%,1%,15%,0%,0%,1%,3%,1%,1%,0%,4%,
0%,60%,0%,3%,2%,6%,1%,0%,0%,23%,0%,0%,0%,0%,0%,0%,0%,0%,2%,1%,
0%,2%,1%,3%,1%,0%,0%,0%,3%,0%,13%,34%,0%,8%,8%,3%,0%,1%,5%,18%,
0%,1%,0%,0%,1%,1%,0%,0%,55%,1%,0%,0%,34%,0%,1%,2%,0%,1%,0%,2%,
20%,0%,0%,0%,0%,0%,1%,0%,5%,0%,0%,1%,0%,0%,48%,8%,0%,6%,0%,9%,
0%,0%,6%,1%,0%,0%,1%,0%,0%,0%,0%,38%,0%,4%,0%,1%,43%,1%,0%,2%,
2%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,92%,0%,2%,
