"csv_date","csv_region","csv_content","csv_image"
"2018.09","input_master"," Topic 1: compani, product, sustain, economi, circular, report, effort, 
 Topic 2: recycl, product, design, brand, economi, plastic, chang, 
 Topic 3: custom, design, compani, mckinsey, servic, make, cost, 
 Topic 4: canada, economi, build, prosper, coalit, sustain, institut, 
 Topic 5: exhibit, italian, intern, china, organ, subscrib, environment, 
 Topic 6: economi, recycl, action, materi, wast, plastic, requir, 
 Topic 7: climat, pakistan, chang, challeng, meet, research, countri, 
 Topic 8: percent, infrastructur, increas, economi, chang, research, institut, 
 Topic 9: plastic, environ, chariti, global, world, million, support, 
 Topic 10: wast, recycl, landfil, product, litter, zealand, plastic, 
 Topic 11: sustain, busi, hungari, develop, council, economi, compani, 
 Topic 12: plastic, recycl, wast, economi, scotland, product, year, 
 Topic 13: packag, recycl, plastic, materi, product, group, sustain, 
 Topic 14: environment, monitor, ton, group, design, green, protect, 
 Topic 15: recycl, plastic, bottl, beverag, produc, make, food, 
 Topic 16: fashion, cloth, recycl, brand, collect, destroy, market, 
 Topic 17: wast, recycl, world, marin, plastic, ocean, tonn, 
 Topic 18: black, presid, process, technolog, environment, director, ceo, 
 Topic 19: economi, recycl, wast, product, polici, propos, public, 
 Topic 20: economi, job, wast, product, recycl, countri, make, 
","https://github.com/FrankDongers/Google-Alert-Article-Scraper/blob/master/model/output/input_master/2018.09.png?raw=true"
"2018.12","input_master"," Topic 1: pla, plant, total, corbion, product, bioplast, market, 
 Topic 2: scrap, -wast, debt, mine, govern, china, citi, 
 Topic 3: move, plastic, european, materi, economi, food, product, 
 Topic 4: wast, recycl, scs, sustain, economi, styren, potenti, 
 Topic 5: china, cooper, develop, meet, economi, relat, water, 
 Topic 6: brand, fashion, compani, industri, luxuri, economi, mccartney, 
 Topic 7: plastic, year, economi, wast, global, time, compani, 
 Topic 8: recycl, wast, compani, industri, sustain, brand, textil, 
 Topic 9: inform, session, link, releas, click, content, visit, 
 Topic 10: wast, sector, govern, scotland, recycl, landfil, economi, 
 Topic 11: economi, sustain, climat, develop, share, citi, industri, 
 Topic 12: packag, sustain, recycl, consum, plastic, product, food, 
 Topic 13: recycl, plastic, bottl, water, percent, compani, found, 
 Topic 14: wast, plastic, manag, countri, economi, region, local, 
 Topic 15: plastic, recycl, packag, wast, economi, materi, technolog, 
 Topic 16: fashion, agriprotein, compani, sustain, innov, industri, millibet, 
 Topic 17: wast, sustain, environ, environment, climat, plastic, action, 
 Topic 18: economi, busi, materi, sustain, product, design, technolog, 
 Topic 19: plastic, find, wast, year, ocean, citi, action, 
 Topic 20: wast, sustain, busi, taiwan, recycl, social, product, 
","https://github.com/FrankDongers/Google-Alert-Article-Scraper/blob/master/model/output/input_master/2018.12.png?raw=true"
"2019.03","input_master"," Topic 1: attach, author, tool, request, demolit, edg, page, 
 Topic 2: plastic, develop, solut, wast, industri, fish, sustain, 
 Topic 3: economi, product, engin, compani, materi, model, busi, 
 Topic 4: recycl, plastic, global, economi, busi, london, work, 
 Topic 5: -wast, recycl, wast, collect, product, electron, india, 
 Topic 6: water, develop, economi, citi, asean, countri, recycl, 
 Topic 7: plastic, commit, economi, fashion, sustain, global, packag, 
 Topic 8: wast, recycl, plastic, economi, govern, cent, year, 
 Topic 9: economi, citi, wast, develop, action, sustain, plan, 
 Topic 10: pavilion, economi, compani, italian, import, exhibit, world, 
 Topic 11: economi, project, access, event, develop, european, group, 
 Topic 12: recycl, economi, product, understand, sustain, materi, industri, 
 Topic 13: economi, recycl, materi, sustain, resourc, product, chang, 
 Topic 14: plastic, recycl, process, technolog, product, materi, chemic, 
 Topic 15: wast, plastic, energi, packag, compani, recycl, commit, 
 Topic 16: global, growth, economi, nation, polici, econom, increas, 
 Topic 17: packag, recycl, consum, design, return, product, brand, 
 Topic 18: product, wast, recycl, compani, materi, servic, plastic, 
 Topic 19: plastic, wast, recycl, product, materi, economi, industri, 
 Topic 20: climat, energi, compani, target, emiss, parti, chang, 
","https://github.com/FrankDongers/Google-Alert-Article-Scraper/blob/master/model/output/input_master/2019.03.png?raw=true"
"2019.06","input_master"," Topic 1: recycl, wast, plastic, year, program, economi, sitra, 
 Topic 2: repair, economi, compani, thing, product, push, materi, 
 Topic 3: economi, busi, servic, move, product, reus, fashion, 
 Topic 4: bird, countri, cloth, speci, conserv, intern, import, 
 Topic 5: plastic, wast, recycl, economi, product, countri, packag, 
 Topic 6: economi, plastic, wast, sustain, busi, london, product, 
 Topic 7: recycl, product, loop, plastic, contain, compani, sustain, 
 Topic 8: recycl, wast, process, materi, manufactur, batteri, scrap, 
 Topic 9: compani, packag, economi, sustain, citi, recycl, food, 
 Topic 10: materi, product, plastic, recycl, design, economi, make, 
 Topic 11: recycl, wast, design, materi, product, singapor, develop, 
 Topic 12: economi, innov, polici, develop, global, busi, environ, 
 Topic 13: economi, resourc, product, year, billion, industri, wast, 
 Topic 14: -wast, plastic, recycl, pepsico, electron, wast, packag, 
 Topic 15: wast, recycl, citi, plastic, system, make, peopl, 
 Topic 16: good, busi, rental, sustain, stuff, citi, green, 
 Topic 17: plastic, ban, single-, wast, recycl, ocean, product, 
 Topic 18: recycl, braskem, sustain, union, philadelphia, partnership, india, 
 Topic 19: wast, australia, china, economi, environ, product, busi, 
 Topic 20: student, eit, rawmateri, school, europ, climat, raw, 
","https://github.com/FrankDongers/Google-Alert-Article-Scraper/blob/master/model/output/input_master/2019.06.png?raw=true"
"2019.09","input_master"," Topic 1: wast, economi, product, recycl, materi, busi, reus, 
 Topic 2: plastic, wast, project, chain, manag, stop, suppli, 
 Topic 3: sustain, busi, climat, develop, chang, action, peopl, 
 Topic 4: year, countri, busi, convent, store, amend, plastic, 
 Topic 5: energi, emiss, climat, economi, carbon, reduc, report, 
 Topic 6: citi, innov, fab, global, year, fashion, challeng, 
 Topic 7: design, fashion, twitter, event, award, includ, climat, 
 Topic 8: recycl, packag, materi, plastic, product, technolog, process, 
 Topic 9: recycl, plastic, wast, collect, resourc, materi, landfil, 
 Topic 10: item, recycl, save, economi, buy, trash, peopl, 
 Topic 11: recycl, bill, plastic, california, packag, wast, local, 
 Topic 12: plastic, solut, industri, univers, countri, environ, manag, 
 Topic 13: research, project, univers, industri, economi, finland, inform, 
 Topic 14: materi, european, sustain, raw, product, europ, industri, 
 Topic 15: economi, sustain, busi, model, compani, econom, industri, 
 Topic 16: scotland, govern, bill, year, scottish, industri, climat, 
 Topic 17: compani, batteri, recycl, sustain, electr, product, vehicl, 
 Topic 18: sustain, brand, make, exist, product, consum, chang, 
 Topic 19: food, water, synthet, industri, beer, produc, africa, 
 Topic 20: compani, energi, work, technolog, sustain, year, make, 
","https://github.com/FrankDongers/Google-Alert-Article-Scraper/blob/master/model/output/input_master/2019.09.png?raw=true"
